entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,ALL,2024,281.0,20.3,38.8,40.9,13.2,7.1,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,ALL,2025,257.0,20.6,39.3,40.1,16.3,4.3,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,ALL,2026,235.0,25.5319,29.3617,45.1064,20.8511,4.6809,69,106,49,11,counts,,
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,03,2024,46.0,28.3,32.6,39.1,10.9,17.4,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,03,2025,34.0,14.7,44.1,41.2,11.8,2.9,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,03,2026,37.0,29.7,16.2,54.1,21.6,8.1,,,,,published_pct,,counts_suppressed
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,04,2024,25.0,16.0,48.0,36.0,16.0,0.0,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,04,2025,49.0,18.4,36.7,44.9,14.3,4.1,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,04,2026,29.0,34.4,13.8,51.7,31.0,3.4,,,,,published_pct,,counts_suppressed
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,05,2024,49.0,18.3,32.7,49.0,12.2,6.1,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,05,2025,32.0,18.8,50.0,31.3,18.8,0.0,,,,,published_pct,,counts_not_published
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,05,2026,45.0,26.6,28.9,44.4,24.4,2.2,,,,,published_pct,,counts_suppressed
district,6050700,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,ELA,06,2024,41.0,26.8,31.7,41.5,14.6,12.2,,,,,published_pct,,counts_not_published
