entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,5802008,DOVER MIDDLE SCHOOL,ELA,ALL,2024,373.0,41.8,21.4,36.7,27.1,14.7,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,ALL,2025,364.0,39.6,23.6,36.8,25.3,14.3,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,ALL,2026,346.0,39.8844,23.9884,36.1272,23.9884,15.896,83,125,83,55,counts,,
school,5802008,DOVER MIDDLE SCHOOL,ELA,05,2024,97.0,50.5,25.8,23.7,30.9,19.6,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,05,2025,95.0,39.0,16.8,44.2,25.3,13.7,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,05,2026,79.0,40.5063,17.7215,41.7722,24.0506,16.4557,14,33,19,13,counts,,
school,5802008,DOVER MIDDLE SCHOOL,ELA,06,2024,93.0,41.9,28.0,30.1,24.7,17.2,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,06,2025,90.0,44.4,24.4,31.1,22.2,22.2,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,06,2026,89.0,35.9551,23.5955,40.4494,22.4719,13.4831,21,36,20,12,counts,,
school,5802008,DOVER MIDDLE SCHOOL,ELA,07,2024,86.0,39.6,15.1,45.3,29.1,10.5,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,07,2025,93.0,34.4,30.1,35.5,29.0,5.4,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,07,2026,93.0,41.9355,30.1075,27.957,24.7312,17.2043,28,26,23,16,counts,,
school,5802008,DOVER MIDDLE SCHOOL,ELA,08,2024,96.0,35.5,15.6,49.0,24.0,11.5,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,08,2025,86.0,40.7,23.3,36.0,24.4,16.3,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,08,2026,85.0,41.1765,23.5294,35.2941,24.7059,16.4706,20,30,21,14,counts,,
school,5802008,DOVER MIDDLE SCHOOL,ELA,09,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,ELA,09,2025,,,,,,,,,,,,not_published,not_offered
school,5802008,DOVER MIDDLE SCHOOL,ELA,09,2026,,,,,,,,,,,,not_published,not_offered
school,5802008,DOVER MIDDLE SCHOOL,Reading,ALL,2024,373.0,41.5,24.4,34.0,24.9,16.6,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,Reading,ALL,2025,364.0,39.9,26.6,33.5,23.1,16.8,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,Reading,ALL,2026,346.0,41.3295,25.1445,33.526,25.1445,16.185,87,116,87,56,counts,,
school,5802008,DOVER MIDDLE SCHOOL,Reading,05,2024,97.0,51.5,28.9,19.6,26.8,24.7,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,Reading,05,2025,95.0,40.0,23.2,36.8,21.1,18.9,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,Reading,05,2026,79.0,40.5063,21.519,37.9747,25.3165,15.1899,17,30,20,12,counts,,
school,5802008,DOVER MIDDLE SCHOOL,Reading,06,2024,93.0,40.8,29.0,30.1,24.7,16.1,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,Reading,06,2025,90.0,46.6,28.9,24.4,23.3,23.3,,,,,published_pct,,counts_not_published
school,5802008,DOVER MIDDLE SCHOOL,Reading,06,2026,89.0,37.0787,24.7191,38.2022,17.9775,19.1011,22,34,16,17,counts,,
school,5802008,DOVER MIDDLE SCHOOL,Reading,07,2024,86.0,36.1,18.6,45.3,22.1,14.0,,,,,published_pct,,counts_not_published
