entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,ALL,2024,54.0,1.9,83.3,14.8,0.0,1.9,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,ALL,2025,39.0,2.6,87.2,10.3,0.0,2.6,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,ALL,2026,50.0,0.0,88.0,12.0,0.0,0.0,,,,,published_pct,,counts_suppressed
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,03,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,03,2025,,,,,,,,,,,,not_published,not_offered
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,03,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,04,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,04,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,04,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,05,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,05,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,05,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,06,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,06,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,06,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,07,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,07,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,07,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,08,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,08,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,08,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,09,2024,20.0,0.0,85.0,15.0,0.0,0.0,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,09,2025,10.0,0.0,70.0,30.0,0.0,0.0,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,09,2026,14.0,0.0,78.6,21.4,0.0,0.0,,,,,published_pct,,counts_suppressed
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,10,2024,16.0,6.3,68.8,25.0,0.0,6.3,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,10,2025,13.0,0.0,92.3,7.7,0.0,0.0,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,ELA,10,2026,19.0,0.0,94.7,5.3,0.0,0.0,,,,,published_pct,,counts_suppressed
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,ALL,2024,54.0,1.9,79.6,18.5,0.0,1.9,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,ALL,2025,39.0,5.2,71.8,23.1,2.6,2.6,,,,,published_pct,,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,ALL,2026,50.0,2.0,72.0,26.0,2.0,0.0,,,,,published_pct,,counts_suppressed
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,03,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,03,2025,,,,,,,,,,,,not_published,not_offered
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,03,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,04,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,04,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,04,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,05,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,05,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,05,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,06,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,2903015,CREATIVE ACTION TEAM SCHOOL,Reading,06,2025,,,,,,,,,,,,n_lt_10,counts_not_published
