entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,ALL,2024,159.0,44.7,19.5,35.8,28.3,16.4,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,ALL,2025,144.0,44.4,18.8,36.8,24.3,20.1,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,ALL,2026,142.0,47.1831,19.7183,33.0986,29.5775,17.6056,28,47,42,25,counts,,
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,03,2024,73.0,49.3,21.9,28.8,31.5,17.8,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,03,2025,67.0,43.3,19.4,37.3,17.9,25.4,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,03,2026,67.0,47.7612,20.8955,31.3433,29.8507,17.9104,14,21,20,12,counts,,
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,04,2024,86.0,40.7,17.4,41.9,25.6,15.1,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,04,2025,77.0,45.5,18.2,36.4,29.9,15.6,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,ELA,04,2026,75.0,46.6667,18.6667,34.6667,29.3333,17.3333,14,26,22,13,counts,,
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,ALL,2024,159.0,45.3,20.8,34.0,28.9,16.4,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,ALL,2025,144.0,44.4,21.5,34.0,25.0,19.4,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,ALL,2026,142.0,45.7746,24.6479,29.5775,28.169,17.6056,35,42,40,25,counts,,
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,03,2024,73.0,49.3,20.5,30.1,26.0,23.3,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,03,2025,67.0,44.8,19.4,35.8,20.9,23.9,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,03,2026,67.0,49.2537,25.3731,25.3731,31.3433,17.9104,17,17,21,12,counts,,
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,04,2024,86.0,41.9,20.9,37.2,31.4,10.5,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,04,2025,77.0,44.2,23.4,32.5,28.6,15.6,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Reading,04,2026,75.0,42.6667,24.0,33.3333,25.3333,17.3333,18,25,19,13,counts,,
school,3001001,BISMARCK ELEMENTARY SCHOOL,Math,ALL,2024,159.0,39.6,25.8,34.6,26.4,13.2,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Math,ALL,2025,144.0,40.3,20.1,39.6,25.0,15.3,,,,,published_pct,,counts_not_published
school,3001001,BISMARCK ELEMENTARY SCHOOL,Math,ALL,2026,142.0,43.662,17.6056,38.7324,24.6479,19.0141,25,55,35,27,counts,,
