entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,6302011,BENTON MIDDLE SCHOOL,ELA,ALL,2024,1356.0,34.0,25.4,40.6,24.0,10.0,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,ALL,2025,1330.0,37.4,21.0,41.7,26.2,11.2,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,ALL,2026,770.0,40.2597,17.5325,42.2078,28.961,11.2987,135,325,223,87,counts,,
school,6302011,BENTON MIDDLE SCHOOL,ELA,05,2024,468.0,39.1,20.5,40.4,26.7,12.4,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,05,2025,437.0,41.4,15.6,43.0,28.4,13.0,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,05,2026,205.0,45.8537,16.0976,38.0488,29.2683,16.5854,33,78,60,34,counts,,
school,6302011,BENTON MIDDLE SCHOOL,ELA,06,2024,428.0,26.2,30.1,43.7,18.5,7.7,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,06,2025,486.0,35.6,21.0,43.4,25.3,10.3,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,06,2026,247.0,40.8907,16.5992,42.5101,32.3887,8.502,41,105,80,21,counts,,
school,6302011,BENTON MIDDLE SCHOOL,ELA,07,2024,460.0,36.1,26.1,37.8,26.3,9.8,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,07,2025,407.0,35.1,26.8,38.1,24.8,10.3,,,,,published_pct,,counts_not_published
school,6302011,BENTON MIDDLE SCHOOL,ELA,07,2026,318.0,36.1635,19.1824,44.6541,26.1006,10.0629,61,142,83,32,counts,,
school,6302011,BENTON MIDDLE SCHOOL,Reading,ALL,2024,1362.0,36.0,26.4,37.5,25.1,10.9,,,,,published_pct,,counts_not_published
