entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,ALL,2024,64.0,32.8,21.9,45.3,20.3,12.5,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,ALL,2025,64.0,40.7,18.8,40.6,34.4,6.3,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,ALL,2026,51.0,29.4,27.5,43.1,19.6,9.8,,,,,published_pct,,counts_suppressed
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,03,2024,14.0,21.4,21.4,57.1,14.3,7.1,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,03,2025,13.0,53.9,23.1,23.1,38.5,15.4,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,03,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,04,2024,18.0,33.4,27.8,38.9,16.7,16.7,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,04,2025,13.0,38.5,23.1,38.5,38.5,0.0,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,04,2026,14.0,50.0,21.4,28.6,42.9,7.1,,,,,published_pct,,counts_suppressed
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,05,2024,22.0,27.3,22.7,50.0,18.2,9.1,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,05,2025,19.0,31.6,26.3,42.1,21.1,10.5,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,05,2026,11.0,18.2,36.4,45.5,9.1,9.1,,,,,published_pct,,counts_suppressed
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,06,2024,10.0,60.0,10.0,30.0,40.0,20.0,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,06,2025,19.0,42.1,5.3,52.6,42.1,0.0,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,ELA,06,2026,17.0,17.7,29.4,52.9,11.8,5.9,,,,,published_pct,,counts_suppressed
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,ALL,2024,64.0,31.3,18.8,50.0,18.8,12.5,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,ALL,2025,64.0,37.5,15.6,46.9,29.7,7.8,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,ALL,2026,51.0,31.4,21.6,47.1,19.6,11.8,,,,,published_pct,,counts_suppressed
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,03,2024,14.0,14.2,14.3,71.4,7.1,7.1,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,03,2025,13.0,46.2,15.4,38.5,30.8,15.4,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,03,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,04,2024,18.0,33.4,27.8,38.9,16.7,16.7,,,,,published_pct,,counts_not_published
school,6901015,TIMBO ELEMENTARY SCHOOL,Reading,04,2025,13.0,30.8,15.4,53.8,30.8,0.0,,,,,published_pct,,counts_not_published
