entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,1201002,CONCORD HIGH SCHOOL,ELA,ALL,2024,120.0,39.2,11.7,49.2,31.7,7.5,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,ALL,2025,111.0,37.8,23.4,38.7,28.8,9.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,ALL,2026,96.0,37.5,26.0417,36.4583,26.0417,11.4583,25,35,25,11,counts,,
school,1201002,CONCORD HIGH SCHOOL,ELA,07,2024,19.0,21.1,26.3,52.6,21.1,0.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,07,2025,25.0,32.0,32.0,36.0,20.0,12.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,07,2026,23.0,39.1,26.1,34.8,34.8,4.3,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,ELA,08,2024,36.0,41.7,13.9,44.4,27.8,13.9,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,08,2025,21.0,28.6,33.3,38.1,28.6,0.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,08,2026,23.0,26.0,34.8,39.1,13.0,13.0,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,ELA,09,2024,32.0,50.0,3.1,46.9,50.0,0.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,09,2025,34.0,38.2,23.5,38.2,20.6,17.6,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,09,2026,18.0,27.8,16.7,55.6,27.8,0.0,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,ELA,10,2024,33.0,36.3,9.1,54.5,24.2,12.1,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,10,2025,31.0,48.4,9.7,41.9,45.2,3.2,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,ELA,10,2026,32.0,50.0,25.0,25.0,28.1,21.9,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Reading,ALL,2024,120.0,38.3,10.8,50.8,28.3,10.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,ALL,2025,111.0,36.9,25.2,37.8,26.1,10.8,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,ALL,2026,96.0,39.5833,21.875,38.5417,28.125,11.4583,21,37,27,11,counts,,
school,1201002,CONCORD HIGH SCHOOL,Reading,07,2024,19.0,21.1,15.8,63.2,21.1,0.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,07,2025,25.0,32.0,36.0,32.0,20.0,12.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,07,2026,23.0,39.1,21.7,39.1,34.8,4.3,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Reading,08,2024,36.0,41.7,13.9,44.4,25.0,16.7,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,08,2025,21.0,33.3,28.6,38.1,33.3,0.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,08,2026,23.0,30.4,26.1,43.5,17.4,13.0,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Reading,09,2024,32.0,50.0,6.3,43.8,46.9,3.1,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,09,2025,34.0,35.3,29.4,35.3,11.8,23.5,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,09,2026,18.0,33.3,11.1,55.6,33.3,0.0,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Reading,10,2024,33.0,33.4,9.1,57.6,18.2,15.2,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,10,2025,31.0,45.1,9.7,45.2,41.9,3.2,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Reading,10,2026,32.0,50.0,25.0,25.0,28.1,21.9,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Math,ALL,2024,55.0,40.0,16.4,43.6,32.7,7.3,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Math,ALL,2025,46.0,43.5,21.7,34.8,37.0,6.5,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Math,ALL,2026,46.0,50.0,21.7,28.3,30.4,19.6,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Math,07,2024,19.0,36.8,15.8,47.4,36.8,0.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Math,07,2025,25.0,56.0,28.0,16.0,48.0,8.0,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Math,07,2026,23.0,39.1,30.4,30.4,30.4,8.7,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Math,08,2024,36.0,41.7,16.7,41.7,30.6,11.1,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Math,08,2025,21.0,28.6,14.3,57.1,23.8,4.8,,,,,published_pct,,counts_not_published
school,1201002,CONCORD HIGH SCHOOL,Math,08,2026,23.0,60.8,13.0,26.1,30.4,30.4,,,,,published_pct,,counts_suppressed
school,1201002,CONCORD HIGH SCHOOL,Science,ALL,2024,55.0,41.8,10.9,47.3,32.7,9.1,,,,,published_pct,,counts_not_published
