entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,ALL,2024,85.0,21.2,45.9,32.9,18.8,2.4,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,ALL,2025,82.0,20.7,37.8,41.5,13.4,7.3,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,ALL,2026,69.0,29.0,39.1,31.9,20.3,8.7,,,,,published_pct,,counts_suppressed
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,03,2024,33.0,24.2,57.6,18.2,21.2,3.0,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,03,2025,24.0,25.0,41.7,33.3,12.5,12.5,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,03,2026,22.0,18.1,54.5,27.3,13.6,4.5,,,,,published_pct,,counts_suppressed
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,04,2024,33.0,15.2,39.4,45.5,15.2,0.0,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,04,2025,26.0,23.0,46.2,30.8,11.5,11.5,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,04,2026,24.0,37.5,25.0,37.5,29.2,8.3,,,,,published_pct,,counts_suppressed
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,05,2024,19.0,26.4,36.8,36.8,21.1,5.3,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,05,2025,32.0,15.6,28.1,56.3,15.6,0.0,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,ELA,05,2026,23.0,30.4,39.1,30.4,17.4,13.0,,,,,published_pct,,counts_suppressed
school,6003108,OAK GROVE ELEMENTARY SCHOOL,Reading,ALL,2024,86.0,18.6,41.9,39.5,16.3,2.3,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,Reading,ALL,2025,82.0,22.0,39.0,39.0,15.9,6.1,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,Reading,ALL,2026,69.0,29.0,39.1,31.9,20.3,8.7,,,,,published_pct,,counts_suppressed
school,6003108,OAK GROVE ELEMENTARY SCHOOL,Reading,03,2024,33.0,18.2,48.5,33.3,15.2,3.0,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,Reading,03,2025,24.0,29.2,45.8,25.0,16.7,12.5,,,,,published_pct,,counts_not_published
school,6003108,OAK GROVE ELEMENTARY SCHOOL,Reading,03,2026,22.0,18.1,45.5,36.4,13.6,4.5,,,,,published_pct,,counts_suppressed
