entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,ALL,2024,156.0,5.8,57.1,37.2,4.5,1.3,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,ALL,2025,168.0,13.1,57.1,29.8,11.3,1.8,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,ALL,2026,185.0,12.4,49.2,38.4,8.6,3.8,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,03,2024,50.0,4.0,62.0,34.0,2.0,2.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,03,2025,54.0,16.7,68.5,14.8,14.8,1.9,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,03,2026,74.0,8.1,54.1,37.8,5.4,2.7,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,04,2024,54.0,7.5,64.8,27.8,5.6,1.9,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,04,2025,56.0,10.7,62.5,26.8,8.9,1.8,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,04,2026,62.0,19.3,50.0,30.6,14.5,4.8,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,05,2024,52.0,5.8,44.2,50.0,5.8,0.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,05,2025,58.0,12.0,41.4,46.6,10.3,1.7,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,ELA,05,2026,49.0,10.2,40.8,49.0,6.1,4.1,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,ALL,2024,156.0,9.6,57.7,32.7,8.3,1.3,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,ALL,2025,169.0,11.8,55.0,33.1,7.7,4.1,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,ALL,2026,186.0,12.9,47.8,39.2,8.6,4.3,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,03,2024,50.0,4.0,64.0,32.0,2.0,2.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,03,2025,55.0,14.5,63.6,21.8,10.9,3.6,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,03,2026,74.0,12.2,50.0,37.8,8.1,4.1,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,04,2024,54.0,11.2,61.1,27.8,9.3,1.9,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,04,2025,56.0,9.0,57.1,33.9,5.4,3.6,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,04,2026,62.0,14.5,46.8,38.7,9.7,4.8,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,05,2024,52.0,13.5,48.1,38.5,13.5,0.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,05,2025,58.0,12.1,44.8,43.1,6.9,5.2,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Reading,05,2026,50.0,12.0,46.0,42.0,8.0,4.0,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,ALL,2024,156.0,10.3,61.5,28.2,7.7,2.6,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,ALL,2025,168.0,10.7,60.1,29.2,9.5,1.2,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,ALL,2026,187.0,15.5,49.7,34.8,12.3,3.2,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,03,2024,51.0,9.8,64.7,25.5,5.9,3.9,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,03,2025,54.0,11.2,64.8,24.1,9.3,1.9,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,03,2026,74.0,21.6,44.6,33.8,18.9,2.7,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,04,2024,54.0,9.3,61.1,29.6,7.4,1.9,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,04,2025,56.0,10.7,58.9,30.4,10.7,0.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,04,2026,62.0,12.9,48.4,38.7,11.3,1.6,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,05,2024,51.0,11.8,58.8,29.4,9.8,2.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,05,2025,58.0,10.3,56.9,32.8,8.6,1.7,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Math,05,2026,51.0,9.8,58.8,31.4,3.9,5.9,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,ALL,2024,155.0,9.1,62.6,28.4,6.5,2.6,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,ALL,2025,168.0,7.7,59.5,32.7,6.5,1.2,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,ALL,2026,186.0,15.1,43.5,41.4,12.4,2.7,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,03,2024,50.0,6.0,64.0,30.0,4.0,2.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,03,2025,54.0,5.6,61.1,33.3,5.6,0.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,03,2026,74.0,16.3,41.9,41.9,14.9,1.4,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,04,2024,54.0,9.3,64.8,25.9,5.6,3.7,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,04,2025,56.0,10.7,53.6,35.7,8.9,1.8,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,04,2026,61.0,16.4,39.3,44.3,11.5,4.9,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,05,2024,51.0,11.8,58.8,29.4,9.8,2.0,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,05,2025,58.0,6.9,63.8,29.3,5.2,1.7,,,,,published_pct,,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Science,05,2026,51.0,11.8,51.0,37.3,9.8,2.0,,,,,published_pct,,counts_suppressed
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Algebra,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Algebra,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Algebra,ALL,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Geometry,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Geometry,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Geometry,ALL,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Biology,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Biology,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6002054,BOONE PARK ELEMENTARY SCHOOL,Biology,ALL,2026,,,,,,,,,,,,n_lt_10,n_lt_10
