entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,ALL,2024,234.0,48.3,15.0,36.8,28.6,19.7,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,ALL,2025,247.0,48.6,19.0,32.4,33.6,15.0,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,ALL,2026,249.0,45.3815,12.8514,41.7671,30.1205,15.261,32,104,75,38,counts,,
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,03,2024,80.0,50.0,17.5,32.5,27.5,22.5,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,03,2025,91.0,49.5,17.6,33.0,29.7,19.8,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,03,2026,81.0,54.3,4.9,40.7,32.1,22.2,,,,,published_pct,,counts_suppressed
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,04,2024,81.0,45.7,17.3,37.0,28.4,17.3,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,04,2025,78.0,44.9,23.1,32.1,30.8,14.1,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,04,2026,92.0,33.6,21.7,44.6,29.3,4.3,,,,,published_pct,,counts_suppressed
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,05,2024,73.0,49.3,9.6,41.1,30.1,19.2,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,05,2025,78.0,51.3,16.7,32.1,41.0,10.3,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,ELA,05,2026,76.0,50.0,10.5,39.5,28.9,21.1,,,,,published_pct,,counts_suppressed
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,ALL,2024,234.0,44.9,17.1,38.0,26.5,18.4,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,ALL,2025,247.0,45.3,21.1,33.6,27.1,18.2,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,ALL,2026,249.0,45.3815,18.4739,36.1446,28.9157,16.4659,46,90,72,41,counts,,
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,03,2024,80.0,43.8,17.5,38.8,26.3,17.5,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,03,2025,91.0,45.1,22.0,33.0,25.3,19.8,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,03,2026,81.0,55.6,9.9,34.6,34.6,21.0,,,,,published_pct,,counts_suppressed
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,04,2024,81.0,44.4,18.5,37.0,25.9,18.5,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,04,2025,78.0,39.7,23.1,37.2,19.2,20.5,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,04,2026,92.0,32.6,25.0,42.4,25.0,7.6,,,,,published_pct,,counts_suppressed
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,05,2024,73.0,46.6,15.1,38.4,27.4,19.2,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,05,2025,78.0,51.3,17.9,30.8,37.2,14.1,,,,,published_pct,,counts_not_published
school,6802001,CAVE CITY ELEMENTARY SCHOOL,Reading,05,2026,76.0,50.0,19.7368,30.2632,27.6316,22.3684,15,23,21,17,counts,,
