entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,ALL,2026,18.0,,,,,,,,,,,rv,rv
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,09,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,09,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,09,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,10,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,10,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,ELA,10,2026,13.0,,,,,,,,,,,rv,rv
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,ALL,2026,18.0,0.0,88.9,11.1,0.0,0.0,,,,,published_pct,,counts_suppressed
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,09,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,09,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,09,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,10,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,10,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Reading,10,2026,13.0,0.0,92.3,7.7,0.0,0.0,,,,,published_pct,,counts_suppressed
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Math,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Math,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Math,ALL,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Science,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Science,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Science,ALL,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,ALL,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,09,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,09,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,09,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,10,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,10,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,10,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,11,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,11,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Algebra,11,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,ALL,2026,10.0,,,,,,,,,,,rv,rv
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,09,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,09,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,09,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,10,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,10,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,10,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,11,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,11,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Geometry,11,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,ALL,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,ALL,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,09,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,09,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,09,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,10,2024,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,10,2025,,,,,,,,,,,,n_lt_10,counts_not_published
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,10,2026,,,,,,,,,,,,n_lt_10,n_lt_10
school,6094002,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,Biology,11,2024,,,,,,,,,,,,n_lt_10,counts_not_published
