entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,0304022,NORFORK HIGH SCHOOL,ELA,ALL,2024,132.0,30.3,21.2,48.5,22.7,7.6,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,ALL,2025,130.0,30.7,31.5,37.7,23.8,6.9,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,ALL,2026,125.0,36.8,15.2,48.0,23.2,13.6,19,60,29,17,counts,,
school,0304022,NORFORK HIGH SCHOOL,ELA,07,2024,33.0,24.2,27.3,48.5,24.2,0.0,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,07,2025,38.0,36.8,31.6,31.6,26.3,10.5,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,07,2026,36.0,44.4,13.9,41.7,25.0,19.4,,,,,published_pct,,counts_suppressed
school,0304022,NORFORK HIGH SCHOOL,ELA,08,2024,32.0,31.3,28.1,40.6,21.9,9.4,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,08,2025,32.0,12.5,43.8,43.8,12.5,0.0,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,08,2026,36.0,41.7,13.9,44.4,25.0,16.7,,,,,published_pct,,counts_suppressed
school,0304022,NORFORK HIGH SCHOOL,ELA,09,2024,35.0,31.5,22.9,45.7,22.9,8.6,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,09,2025,28.0,32.1,21.4,46.4,25.0,7.1,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,09,2026,30.0,20.0,23.3,56.7,20.0,0.0,,,,,published_pct,,counts_suppressed
school,0304022,NORFORK HIGH SCHOOL,ELA,10,2024,32.0,34.4,6.3,59.4,21.9,12.5,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,10,2025,32.0,40.7,28.1,31.3,31.3,9.4,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,ELA,10,2026,23.0,39.1,8.7,52.2,21.7,17.4,,,,,published_pct,,counts_suppressed
school,0304022,NORFORK HIGH SCHOOL,Reading,ALL,2024,132.0,28.8,18.9,52.3,21.2,7.6,,,,,published_pct,,counts_not_published
school,0304022,NORFORK HIGH SCHOOL,Reading,ALL,2025,130.0,32.3,34.6,33.1,23.8,8.5,,,,,published_pct,,counts_not_published
