entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,ALL,2024,325.0,44.0,23.1,32.9,30.2,13.8,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,ALL,2025,347.0,42.1,23.1,34.9,27.7,14.4,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,ALL,2026,345.0,37.3913,22.8986,39.7101,22.3188,15.0725,79,137,77,52,counts,,
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,03,2024,71.0,36.7,25.4,38.0,26.8,9.9,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,03,2025,84.0,33.3,26.2,40.5,22.6,10.7,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,03,2026,88.0,29.5,19.3,51.1,19.3,10.2,,,,,published_pct,,counts_suppressed
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,04,2024,84.0,47.6,21.4,31.0,28.6,19.0,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,04,2025,74.0,41.9,21.6,36.5,27.0,14.9,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,04,2026,84.0,29.7,35.7,34.5,19.0,10.7,,,,,published_pct,,counts_suppressed
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,05,2024,91.0,35.2,30.8,34.1,24.2,11.0,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,05,2025,94.0,39.4,24.5,36.2,21.3,18.1,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,05,2026,79.0,44.3038,20.2532,35.443,31.6456,12.6582,16,28,25,10,counts,,
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,06,2024,79.0,57.0,13.9,29.1,41.8,15.2,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,06,2025,95.0,52.6,20.0,27.4,38.9,13.7,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,ELA,06,2026,94.0,45.7447,17.0213,37.234,20.2128,25.5319,16,35,19,24,counts,,
school,4708028,GOSNELL ELEMENTARY SCHOOL,Reading,ALL,2024,325.0,41.5,21.8,36.6,27.7,13.8,,,,,published_pct,,counts_not_published
school,4708028,GOSNELL ELEMENTARY SCHOOL,Reading,ALL,2025,347.0,40.6,23.9,35.4,26.2,14.4,,,,,published_pct,,counts_not_published
