entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,ALL,2024,229.0,39.3,22.3,38.4,26.6,12.7,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,ALL,2025,240.0,43.4,25.4,31.3,26.3,17.1,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,ALL,2026,237.0,51.8987,17.2996,30.8017,32.0675,19.8312,41,73,76,47,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,03,2024,121.0,39.7,23.1,37.2,24.0,15.7,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,03,2025,115.0,44.4,27.8,27.8,26.1,18.3,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,03,2026,120.0,55.0,17.5,27.5,30.8333,24.1667,21,33,37,29,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,04,2024,108.0,38.9,21.3,39.8,29.6,9.3,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,04,2025,125.0,42.4,23.2,34.4,26.4,16.0,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,ELA,04,2026,117.0,48.7179,17.094,34.188,33.3333,15.3846,20,40,39,18,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,ALL,2024,233.0,39.5,24.0,36.5,26.2,13.3,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,ALL,2025,240.0,40.0,25.8,34.2,25.0,15.0,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,ALL,2026,237.0,50.211,20.2532,29.5359,28.27,21.9409,48,70,67,52,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,03,2024,124.0,37.9,24.2,37.9,23.4,14.5,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,03,2025,115.0,40.0,27.8,32.2,21.7,18.3,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,03,2026,120.0,51.6667,20.0,28.3333,26.6667,25.0,24,34,32,30,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,04,2024,109.0,41.3,23.9,34.9,29.4,11.9,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,04,2025,125.0,40.0,24.0,36.0,28.0,12.0,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Reading,04,2026,117.0,48.7179,20.5128,30.7692,29.9145,18.8034,24,36,35,22,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,ALL,2024,232.0,50.4,18.1,31.5,31.9,18.5,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,ALL,2025,240.0,59.2,15.4,25.4,38.8,20.4,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,ALL,2026,238.0,67.2269,11.7647,21.0084,44.1176,23.1092,28,50,105,55,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,03,2024,124.0,50.8,19.4,29.8,29.8,21.0,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,03,2025,115.0,56.5,13.0,30.4,42.6,13.9,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,03,2026,120.0,66.6667,13.3333,20.0,38.3333,28.3333,16,24,46,34,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,04,2024,108.0,50.0,16.7,33.3,34.3,15.7,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,04,2025,125.0,61.6,17.6,20.8,35.2,26.4,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Math,04,2026,118.0,67.7966,10.1695,22.0339,50.0,17.7966,12,26,59,21,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,ALL,2024,233.0,37.8,20.2,42.1,24.9,12.9,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,ALL,2025,241.0,39.9,19.5,40.7,27.0,12.9,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,ALL,2026,237.0,55.2743,14.346,30.3797,36.7089,18.5654,34,72,87,44,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,03,2024,124.0,41.1,17.7,41.1,29.0,12.1,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,03,2025,115.0,39.1,19.1,41.7,28.7,10.4,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,03,2026,120.0,55.0,15.0,30.0,38.3333,16.6667,18,36,46,20,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,04,2024,109.0,34.0,22.9,43.1,20.2,13.8,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,04,2025,126.0,40.5,19.8,39.7,25.4,15.1,,,,,published_pct,,counts_not_published
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Science,04,2026,117.0,55.5556,13.6752,30.7692,35.0427,20.5128,16,36,41,24,counts,,
school,0503013,SKYLINE HEIGHTS ELEMENTARY SCHOOL,Algebra,ALL,2024,,,,,,,,,,,,n_lt_10,counts_not_published
